by,score,time,url,text,id,type,title,kids,descendants
coloneltcb,382,1714742798,https://english.nv.ua/life/27-unique-volumes-of-grimm-brothers-fairy-tales-were-found-in-poland-50415035.html,,40247421,story,Unique volumes of Brothers Grimm fairy tales discovered in Poland,"[40249844, 40248717, 40248373, 40248223, 40253618, 40248163, 40249524, 40250764, 40248204, 40254074, 40248423, 40253144, 40250720, 40249431, 40248167, 40248959]",111
walterbell,16,1714556701,https://blog.castopod.org/understanding-op3-with-john-spurlock/,,40221235,story,Understanding Open Podcast Prefix Project (OP3) with John Spurlock,"[40258255, 40257706, 40257668, 40257540]",11
dnetesn,98,1714785816,https://nautil.us/i-never-stopped-learning-from-daniel-dennett-569904/,,40254047,story,I never stopped learning from Daniel Dennett,"[40258215, 40255265, 40255081, 40255119]",10
Caiero,37,1714543137,https://www.noemamag.com/a-clock-in-the-forest/,,40220002,story,A Clock in the Forest,"[40257190, 40255251, 40257172]",4
matusgallik008,50,1714556380,,"hey, i work as an SRE for a company where we allow users to upload media files (e.g. profile picture, attach docs or videos to tasks..the usual). We currently just take a S3 pre-signed URL and let the user upload stuff. Occasionally, limits are set on the &lt;input&#x2F;&gt; element for file types.<p>I don&#x27;t feel this is safe enough. I also feel we could do better by optimizing images on the BE, or creating thumbnails for videos. But then there is the question of cost on AWS side.<p>Anybody have experience with any of this? I imagine having a big team and dedicated services for media processing could work, but what about small teams?<p>All thoughts&#x2F;discussions are welcome.",40221210,story,Ask HN: How to handle user file uploads?,"[40238600, 40247889, 40256703, 40221233, 40257852, 40256971, 40223051, 40256709, 40256784, 40256742, 40256451, 40256416, 40233148, 40252112, 40256453, 40256427, 40256465, 40256307, 40223227, 40257284, 40222470]",50
skilled,345,1714554912,https://natureofcode.com/introduction/,,40221067,story,The Nature of Code (2nd Edition),"[40257954, 40257827, 40221214, 40248750, 40250043, 40249628, 40253573, 40251949, 40252736, 40257215, 40251442, 40254856, 40250217, 40255914, 40256632, 40249634, 40254113, 40248990, 40254195, 40250032, 40251259, 40250241]",38
PaulHoule,113,1714764322,https://daily.jstor.org/the-physics-of-karate/,,40251317,story,The Physics of Karate (2021),"[40252171, 40252188, 40256335, 40255701, 40253005, 40252071, 40252805, 40255154, 40252634, 40254150, 40252082, 40253971, 40252519, 40252007]",88
Brajeshwar,195,1714749217,https://spectrum.ieee.org/ai-coding,,40248619,story,AI copilots are changing how coding is taught,"[40255488, 40254012, 40250835, 40257203, 40257212, 40253998, 40250538, 40255956, 40250728, 40255632, 40255308, 40254410, 40254873, 40254263, 40257415, 40257416, 40253343, 40250582, 40255079, 40251579, 40251050, 40257457, 40255277, 40250904, 40251853, 40251122, 40255029, 40255681, 40253435, 40254435, 40254308, 40253891, 40251029, 40258050, 40250552, 40253354, 40250980]",370
techedlaksh,220,1714759613,https://glitchcomet.com/articles/1024-bit-primes/,,40250519,story,How hard can generating 1024-bit primes be?,"[40252687, 40252010, 40254238, 40257545, 40253460, 40253462, 40253841, 40252105, 40251995, 40255964, 40254357, 40255655, 40254469, 40256911, 40254205, 40254183, 40253416, 40253373, 40251987, 40253824, 40251959, 40253678]",68
sebg,465,1714700670,https://alexgarcia.xyz/blog/2024/building-new-vector-search-sqlite/index.html,,40243168,story,I’m writing a new vector search SQLite Extension,"[40244002, 40243906, 40246236, 40250624, 40247186, 40245186, 40243851, 40243740, 40244568, 40249711, 40244410, 40245085, 40247018, 40245171, 40244182, 40245364, 40254337, 40251295, 40251617, 40245074, 40245576, 40245027]",85
Sajarin,103,1714759637,https://sato-team.github.io/Stable-Text-to-Motion-Framework/,,40250525,story,SATO: Stable Text-to-Motion Framework,"[40255000, 40252709, 40255074, 40253365, 40250708, 40251808, 40253901, 40254378, 40253223]",18
domdomegg,60,1714822608,https://adamjones.me/blog/dont-use-contact-forms/,,40256868,story,I don't want to fill out your contact form,"[40258200, 40257924, 40258220, 40258109, 40258213, 40258112, 40257941, 40258049, 40258130, 40257922, 40258125, 40256932, 40257897, 40258047]",16
ementally,740,1714744001,https://mullvad.net/en/blog/dns-traffic-can-leak-outside-the-vpn-tunnel-on-android,,40247604,story,DNS traffic can leak outside the VPN tunnel on Android,"[40247762, 40247917, 40248123, 40257898, 40249429, 40249383, 40247858, 40248020, 40250046, 40248699, 40251443, 40248779, 40247982, 40248893, 40247787, 40248334, 40250437, 40248133, 40257108, 40251233, 40248051, 40248862, 40248690, 40249878, 40251967, 40248945, 40248144, 40250514, 40253758, 40248028, 40252543, 40247786]",343
yeldarb,92,1714578435,https://github.com/google-deepmind/torax,,40224937,story,TORAX is a differentiable tokamak core transport simulator,"[40253830, 40252042, 40252908, 40251799, 40254427]",15
jasim,604,1714672094,https://danielchasehooper.com/posts/shapeup/,,40239164,story,Making a 3D modeler in C in a week,"[40239834, 40240387, 40240656, 40240736, 40257282, 40245310, 40243811, 40243446, 40241166, 40242468, 40243124, 40240481, 40240021, 40243310, 40243293, 40240922, 40243206, 40246896, 40239645, 40240822, 40243729, 40242912, 40249930, 40240309, 40240921, 40240130, 40242695, 40240857, 40245546, 40241599, 40244341, 40245223, 40243198]",173
luu,249,1714518312,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,,40217554,story,A Mathematical Theory of Communication [pdf],"[40250647, 40249638, 40249933, 40251915, 40250221, 40251901, 40249300, 40249540, 40254352, 40250515, 40249303, 40250249, 40249088]",38
Luc,122,1714749737,https://www.darpa.mil/news-events/2024-05-01,,40248721,story,Manta Ray UUV prototype completes in-water testing,"[40249084, 40249046, 40250118, 40248881, 40249136, 40251079, 40249137, 40249329, 40248944, 40249694, 40249114, 40249149, 40250814, 40249298, 40250590, 40250279, 40249232, 40250541, 40249697]",78
siegers,195,1714747189,https://www.lowercase.app/,,40248217,story,Lowercase – A simple way to take and share notes,"[40250746, 40258175, 40254438, 40249897, 40249455, 40257402, 40248688, 40248991, 40252770, 40248595, 40256253, 40251228, 40248279, 40250060, 40254722, 40248901, 40249323, 40253390, 40248441, 40251715, 40251171, 40257734, 40249967, 40249658, 40248863]",142
PaulHoule,64,1714766501,https://arxiv.org/abs/2402.16671,,40251747,story,StructLM: Towards Building Generalist Models for Structured Knowledge Grounding,,0
DeathArrow,26,1714828413,https://github.com/bigcode-project/starcoder2-self-align,,40257420,story,StarCoder2-Instruct: Transparent Self-Alignment for Code Generation,"[40257965, 40258113, 40257645, 40257844]",6
imaq,643,1714726851,https://alinpanaitiu.com/blog/woodworking-escape-from-software-absurdity/,,40245601,story,Woodworking as an escape from the absurdity of software,"[40246033, 40250390, 40245873, 40248814, 40248343, 40257767, 40246938, 40246573, 40245860, 40246105, 40246243, 40249503, 40247705, 40257525, 40246729, 40246041, 40248560, 40247048, 40247130, 40249544, 40245808, 40246407, 40247460, 40250642, 40246283, 40246421, 40246439, 40249044, 40249163, 40245913, 40248388, 40255436, 40246654, 40248705, 40257938, 40246308, 40257896, 40257888, 40250233, 40246680, 40251547, 40247864, 40247853, 40254163, 40246622, 40248062, 40248833, 40247948, 40254128, 40254721, 40254532, 40251676, 40251685, 40245797, 40247378, 40246850, 40248375, 40248626, 40247746, 40247227, 40252198, 40246547, 40247945, 40254253, 40246771, 40245995, 40247041, 40251206, 40245884, 40245987]",489
gitinit,310,1714694168,https://github.com/Stirling-Tools/Stirling-PDF,,40242639,story,"Stirling PDF: Self-hosted, web-based PDF manipulation tool","[40248518, 40257670, 40245096, 40243860, 40245090, 40244627, 40244802, 40244283, 40251549, 40249772, 40245064, 40248677, 40248252, 40244366, 40245614, 40248339, 40245036, 40250919, 40245545, 40244320, 40244977, 40244481, 40257161, 40249631, 40255460]",93
dchest,504,1714643375,https://www.tunera.xyz/fonts/teranoptia/,,40234383,story,Teranoptia – a typeface that allows you to imagine chimeric creatures,"[40237704, 40236855, 40240868, 40236905, 40236761, 40244332, 40236489, 40236875, 40241155, 40245297, 40238284, 40237381, 40235815, 40238137, 40245383, 40237651]",50
zdw,129,1714580519,https://jgeekstudies.org/2024/04/26/are-japanese-anime-robots-isometric-or-allometric/,,40225410,story,Are Japanese anime robots isometric or allometric?,"[40258003, 40254896, 40257913, 40256250, 40255785, 40254229, 40254725, 40254730]",58
tosh,74,1714760664,https://twitter.com/karpathy/status/1786461447654125625,,40250693,story,"llm.c: multi-GPU, bfloat16, flash attention, ~7% faster than PyTorch","[40255067, 40253658, 40252464, 40254817]",4
techedlaksh,386,1714691860,https://a.singlediv.com/,,40242410,story,A Single Div,"[40244095, 40242442, 40243984, 40244575, 40248697, 40247847, 40243821, 40243502, 40247906, 40243514, 40245675, 40245177, 40243981, 40243505, 40243507, 40247071, 40245616, 40244127, 40250303, 40246616]",68
kryptiskt,249,1714636234,https://blog.funcall.org//lisp%20psychoacoustics/2024/05/01/worlds-loudest-lisp-program/,,40233736,story,The world's loudest Lisp program to the rescue,"[40243063, 40241281, 40241735, 40245655, 40241936, 40244462, 40240979]",92
carabiner,136,1714630968,https://en.wikipedia.org/wiki/Goodyear_Inflatoplane,,40233259,story,Goodyear Inflatoplane,"[40246736, 40246335, 40248752, 40246182, 40246221, 40249070, 40250546, 40249442, 40247117, 40246184, 40248022, 40246623, 40246143, 40250978, 40246023]",68
ohjeez,156,1714701513,https://news.gatech.edu/news/2024/05/02/georgia-tech-and-meta-create-massive-open-dataset-advance-ai-solutions-carbon,,40243242,story,"Georgia Tech, Meta create open dataset to advance solutions for carbon capture","[40247094, 40257869, 40244082, 40244509, 40244406, 40249906, 40244386, 40249831, 40244226, 40248538, 40254580, 40247533, 40247576, 40244104]",153
ColinWright,89,1714638437,https://www.selfawaresoup.com/notes/2024/05/01/the-user-is-on-their-own/,,40233933,story,The user is on their own,"[40251390, 40251951, 40254910, 40251946, 40251365, 40251384, 40251889, 40253471, 40252378, 40251869, 40255609, 40252996, 40251120, 40252688, 40254842, 40252768, 40251472, 40252542, 40253509, 40252846, 40254523, 40253379, 40252528, 40251782, 40251623, 40252945, 40252879, 40251387, 40251848, 40252137, 40252759, 40251553, 40252588, 40253888, 40251804, 40256003]",95
noashavit,16,1714749613,https://www.drawio.com/,,40248692,story,Open-Source Lucidchart Alternative,,0
sr-latch,320,1714679688,https://blog.ablspacesystems.com/p/building-e2,,40240724,story,Building a rocket engine from scratch,"[40242230, 40241202, 40244145, 40241381, 40247309, 40245800, 40251966, 40241758, 40244557, 40247896, 40241656, 40243940, 40241772]",86
thelastgallon,161,1714569251,https://www.cnbc.com/2024/05/01/johnson-johnson-will-pay-6point5-billion-to-resolve-nearly-all-talc-ovarian-cancer-lawsuits-in-us.html,,40222722,story,Johnson and Johnson to pay $6.5B to resolve talc ovarian cancer lawsuits in U.S.,"[40236802, 40236679, 40236809, 40225325, 40244539, 40236564, 40237291, 40236844, 40236148, 40246353, 40225214, 40253014, 40236713, 40236557, 40240047, 40237600, 40236611]",122
anonzzzies,51,1714733030,https://github.com/aartaka/trivial-inspect,,40246185,story,A portable Common Lisp toolkit for building inspectors,"[40250445, 40257030, 40252023, 40253598, 40253246]",17
someotherperson,70,1714786232,https://arstechnica.com/information-technology/2022/12/my-secret-life-as-an-11-year-old-bbs-sysop/,,40254080,story,My secret life as an 11-year-old BBS sysop (2022),"[40255220, 40254608, 40257472, 40256738, 40255799, 40255142, 40255823, 40256470]",8
bpierre,212,1714745509,https://github.com/jantimon/text-box-trim-examples,,40247871,story,CSS Text Box Trim,"[40248641, 40248459, 40248527, 40249407, 40250027, 40253437, 40250551, 40252869, 40249339, 40249058, 40248853, 40254340, 40249417, 40250466]",48
PaulHoule,137,1714744256,https://reasonstobecheerful.world/mexico-chinampas-floating-gardens-sustainable-farming/,,40247662,story,Mexico's Floating Gardens,"[40248763, 40248228, 40249708, 40250572, 40251838, 40251516, 40254486, 40248754, 40252143]",28
Brajeshwar,52,1714755847,https://www.theverge.com/24146299/costa-rica-forest-restoration-renewable-energy-lessons,,40249858,story,Costa Rica restored its forests and switched to renewable energy,"[40252346, 40252934, 40253053]",6
wallflower,8,1714774054,https://www.analogsky.co/magic,,40252933,story,Make your own stargazing binoculars,,0
ulrischa,18,1714712283,https://developer.mozilla.org/en-US/blog/mdn-blog-one-year-on/,,40244205,story,A year of publishing the MDN Blog,[40258105],1
derbOac,38,1714775050,https://www.theverge.com/2024/5/2/24147154/ecobee-smart-thermostat-end-of-support,,40253041,story,"After 16 years, Ecobee is ceasing support for original smart thermostat","[40256174, 40253884, 40253835]",34
botanical,30,1714707279,https://e360.yale.edu/features/nonhle-mbuthuma-interview,,40243773,story,One South African community stopped Shell oil in its tracks,,0
angledense,56,1714508329,https://www.theguardian.com/books/2016/jan/20/fairytales-much-older-than-previously-thought-say-researchers,,40215795,story,"Fairytales much older than previously thought, say researchers (2016)","[40215801, 40258107, 40256565, 40256506, 40256355, 40255734, 40255387, 40256650]",18
0x00000000,154,1714698632,https://xn--6xw240d.net/,,40243014,story,Dressmaking CAD,"[40248002, 40244871, 40245336, 40244111, 40248059, 40245114, 40245961, 40247358]",38
Metacelsus,68,1714821442,https://www.science.org/content/article/what-philippine-court-ruling-means-transgenic-golden-rice-once-hailed-dietary,,40256754,story,Phillipine court bans growth of transgenic golden rice,"[40257567, 40257290, 40257744, 40258154, 40257800, 40257403, 40257727, 40257814, 40257377, 40257409, 40257268, 40257471, 40256859, 40257294, 40257247, 40257369]",85
alexzeitler,92,1714743450,https://github.com/xlmnxp/blue-recorder,,40247528,story,"Blue-Recorder, a Simple Screen Recorder Written in Rust","[40249228, 40250706, 40258055, 40254787, 40251527, 40249954, 40247737]",48
simonpure,53,1714728598,https://writings.stephenwolfram.com/2024/05/why-does-biological-evolution-work-a-minimal-model-for-biological-evolution-and-other-adaptive-processes/,,40245769,story,A Minimal Model for Biological Evolution and Other Adaptive Processes,"[40254003, 40250520, 40251438]",6
translocator,45,1714498312,https://www.biographic.com/fire-for-water/,,40213588,story,Fire for Water: A tribe in California is helping to reshape fire management,"[40249110, 40252309, 40251585, 40249367, 40248426, 40247334, 40251906, 40233332]",22
davidbarker,235,1714711856,https://globalnews.ca/news/10463535/ontario-family-doctor-artificial-intelligence-notes/,,40244165,story,Ontario family doctor says new AI notetaking saved her job,"[40247866, 40257635, 40247609, 40249805, 40257255, 40254439, 40248671, 40245394, 40248070, 40257828, 40251795, 40248093, 40252854, 40248410, 40245136, 40249410, 40244861, 40244898, 40245080, 40249685, 40248405, 40245265, 40244733, 40248118, 40244878, 40244887, 40245224, 40247833, 40256278]",246
fmerian,241,1714727188,https://bump.sh/blog/how-to-use-json-path,,40245637,story,How to Use JSON Path,"[40246209, 40251934, 40247663, 40245811, 40251203, 40246397, 40245757, 40246074, 40253031, 40249134, 40246457, 40247741, 40247101, 40246542, 40252121, 40246503, 40249539, 40249122, 40247260, 40250784, 40245862]",123
WithinReason,209,1714666554,https://longnow.org/ideas/to-save-it-eat-it/,,40237947,story,Gene banks aren’t enough to save the world’s food,"[40241483, 40240695, 40240803, 40241217, 40241034, 40240513, 40242274, 40243495, 40244515, 40242768, 40241263, 40243556, 40241693, 40250599, 40245058, 40241450, 40241086, 40240495, 40240332, 40240793, 40241610]",111
dukeyukey,46,1714644626,https://www.samdumitriu.com/p/visiting-the-worlds-most-expensive,,40234490,story,Visiting the most expensive nuclear station,"[40234838, 40252416, 40252616, 40254325, 40253402, 40252614, 40254083, 40253493, 40253146]",44
vvoruganti,257,1714671481,https://kyju.org/blog/piccolo-a-stackless-lua-interpreter/,,40239029,story,Piccolo – A Stackless Lua Interpreter,"[40244030, 40243131, 40240708, 40239817, 40245536, 40240677, 40240759, 40239873, 40242879]",23
jasondavies,55,1714754927,https://eureka-research.github.io/dr-eureka/,,40249696,story,DrEureka: Language Model Guided SIM-to-Real Transfer,"[40254862, 40250549, 40254077, 40251100, 40250928, 40250756]",13
rbanffy,12,1714727137,https://spectrum.ieee.org/smart-agriculture,,40245626,story,Agricultural IoT System Sends Power Through the Soil,,0
tintinnabula,243,1714621571,https://www.youtube.com/watch?v=4hOK7bU0S1Y,,40232492,story,How did Ancient Greek music sound?,"[40237716, 40237383, 40238122, 40241175, 40237842, 40237412, 40245440, 40238206, 40239769, 40240912, 40238058, 40239138, 40238880, 40241006, 40240080, 40240980, 40239949, 40237418, 40237474]",98
dnetesn,108,1714785915,https://nautil.us/insects-and-other-animals-have-consciousness-571584/,,40254054,story,Insects and other animals have consciousness,"[40257932, 40257813, 40255065, 40255211, 40254965, 40255101, 40258019, 40255447, 40255217, 40256163, 40255412, 40257558, 40257936, 40255323, 40255077, 40255522, 40254918, 40254884, 40255960, 40254957, 40255749, 40255206, 40255168, 40255911, 40257685]",168
nateb2022,251,1714612014,https://github.com/espeak-ng/espeak-ng,,40231630,story,ESpeak-ng: speech synthesizer with more than one hundred languages and accents,"[40232384, 40233104, 40232263, 40235318, 40233054, 40234196, 40232309, 40234788, 40234245, 40234739, 40234722, 40232527, 40233249, 40235194, 40236704, 40232320, 40233103, 40235950, 40236035, 40236412, 40232626, 40238113, 40239381, 40232672]",106
8organicbits,92,1714738837,https://theunderground.blog/,,40246841,story,Experimental blog that is only available to read through a feed reader,"[40248189, 40247499, 40247238, 40247814, 40247844, 40247303, 40247244, 40249984, 40250802, 40249794, 40250071, 40248883, 40247776, 40250442, 40248442, 40247277, 40248562, 40247426, 40247475, 40247335]",81
sansjack,69,1714720615,https://boilermate.site/hot,While looking for some code boilerplates i realised there isn&#x27;t really an easy &#x2F; efficient place to browse. Boilermate.site was made for the community to share them and give a vote!,40245050,story,Show HN: I built a site to share code boilerplates,"[40249734, 40257423, 40245097, 40248468, 40249264, 40249713, 40252864, 40247594, 40253007, 40248365, 40248158, 40250968, 40247408, 40253304]",31
ingve,189,1714636718,https://chipsandcheese.com/2024/05/01/inside-the-snapdragon-855s-igpu/,,40233784,story,The Snapdragon 855's iGPU,"[40240594, 40235362, 40238703, 40234429, 40234452]",80
practicalrs,201,1714549149,https://github.com/pcwalton/offset-allocator,,40220542,story,"Fast, simple, hard real time allocator for Rust","[40234344, 40239042, 40236634, 40239027, 40234338, 40241662, 40220543, 40234599, 40237754]",57
gnabgib,45,1714756389,https://www.bleepingcomputer.com/news/security/google-rolls-back-recaptcha-update-to-fix-firefox-issues/,,40249944,story,Google rolls back reCaptcha update to fix Firefox issues,"[40256140, 40257640, 40256751, 40250399, 40255066, 40253762, 40251866, 40252939, 40256546, 40253269, 40253917, 40256558]",22
ingve,35,1714819761,https://utcc.utoronto.ca/~cks/space/blog/tech/UEFIAndBIOSAndOtherPCTerms,,40256574,story,"UEFI, BIOS, and other confusing x86 PC (firmware) terms","[40257103, 40257148, 40257226]",7
ripe,85,1714646726,https://lithub.com/how-silk-helped-the-armies-of-genghis-khan-conquer-asia/,,40234682,story,Silk Helped the Armies of Genghis Khan Conquer Asia,"[40244566, 40246281, 40244120, 40244081, 40244349, 40256334, 40244076, 40249359, 40245528, 40244503, 40245115, 40243787, 40251256]",63
jger15,37,1714749788,https://freddiedeboer.substack.com/p/the-modern-curse-of-overoptimization,,40248732,story,The Modern Curse of Overoptimization,"[40251065, 40250759, 40250779, 40250817, 40253084, 40251342]",8
internetter,58,1714779627,https://boehs.org/node/bountysource,,40253514,story,"Bountysource Stole at Least $17,000 from Open Source Developers","[40254297, 40257803, 40254292, 40254326, 40255108, 40256162, 40257123]",18
philocalyst,6,1714753688,https://sites.wpp.com/annualreports/2014/what-we-think/essay-by-jeremy-bullmore/,,40249477,story,You May Not Know Where You're Going Until You've Got There(2014),,0
traviskuhl,5,1714833409,https://arstechnica.com/cars/2024/05/chaos-at-tesla-what-analysts-think-about-elon-musks-cuts-and-layoffs/,,40257997,story,What's happening at Tesla? Here's what experts think,"[40258168, 40258085]",1
Brajeshwar,442,1714749256,https://newatlas.com/energy/natron-sodium-ion-battery-production-startt/,,40248627,story,Lithium-free sodium batteries exit the lab and enter US production,"[40249330, 40249934, 40248806, 40250492, 40249660, 40251306, 40252011, 40251743, 40250504, 40249147, 40249153, 40249113, 40251023, 40250358, 40249038, 40253996, 40251058, 40250098, 40249838, 40254020, 40248950, 40250433, 40254143, 40251224, 40249181, 40251686, 40250955, 40249186, 40252361, 40251556, 40251333, 40252060, 40249620]",354
bms2297,113,1714691157,https://www.mattcutts.com/blog/google-synonyms/,,40242335,story,More info about synonyms at Google (2010),"[40242336, 40242685, 40242519, 40243105, 40249641, 40242448, 40242744, 40242743]",48
gnabgib,75,1714783383,https://theconversation.com/how-much-time-should-you-spend-sitting-versus-standing-new-research-reveals-the-perfect-mix-for-optimal-health-228894,,40253868,story,How much time should you spend sitting versus standing?,"[40254734, 40254274, 40254315, 40254648, 40254323, 40256705, 40256415, 40254448, 40256753, 40254341]",60
rntn,31,1714754436,https://www.techdirt.com/2024/05/03/court-supports-ny-states-quest-to-require-15-broadband-for-poor-people-much-to-big-telecoms-horror/,,40249601,story,"Court Supports NY's Requiring $15 Broadband for Poor, to Big Telecom's Horror",[40249665],1
T-A,248,1714606884,https://royalsocietypublishing.org/doi/10.1098/rsos.231906,,40230988,story,Horizontal running inside circular walls of Moon settlements,"[40231589, 40231363, 40235024, 40232377, 40231980, 40232996, 40232323, 40234453, 40232403, 40232315, 40237248, 40232536, 40232121, 40233425, 40231180, 40231394, 40232140, 40234850, 40231245, 40231298]",142
Brajeshwar,49,1714737133,https://www.theverge.com/2024/5/2/24146743/university-of-tokyo-atacama-observatory-telescope-highest-altitude-infrared,,40246601,story,The highest observatory in the world just opened in Chile,[40248836],6
Brajeshwar,19,1714737142,https://techcrunch.com/2024/05/02/google-will-now-show-labels-in-play-store-to-denote-official-government-apps/,,40246603,story,Google will now show labels in Play Store to denote official government apps,,0
conanxin,8,1714828936,https://www.oreilly.com/radar/rising-tide-rents-and-robber-baron-rents/,,40257470,story,Rising Tide Rents and Robber Baron Rents,"[40258218, 40257914]",1
MiguelX413,172,1714771257,https://bsky.app/profile/silverwuffamute.bsky.social/post/3kqbd476nvk2i,,40252525,story,Discord Applying Forced Arbitration - opt-out before it is too late!,"[40253155, 40258089, 40253921, 40252840, 40254801, 40253282, 40252884, 40253649, 40253035, 40254735, 40252570, 40254267, 40252720, 40253371, 40254335, 40255869, 40254400, 40253248, 40253608, 40254599, 40252632, 40253119, 40252728, 40252630]",92
InitEnabler,641,1714488885,https://pyinfra.com/,,40211655,story,Pyinfra: Automate Infrastructure Using Python,"[40212701, 40212449, 40215908, 40213558, 40212747, 40214789, 40212984, 40215385, 40218145, 40212897, 40214563, 40228934, 40218169, 40213946, 40213688, 40212026, 40221021, 40232291, 40213530, 40220186, 40213062, 40213061, 40221616, 40215062, 40219627, 40215879, 40220525, 40213268, 40212008, 40219060, 40212023, 40212761, 40221893, 40212588, 40214189, 40214753, 40213412, 40222378]",216
keepamovin,39,1714729627,https://www.bbc.com/future/article/20240501-the-new-zealand-city-with-a-labyrinth-of-underground-caves,,40245843,story,"Auckland, New Zealand: A city with a labyrinth of underground caves","[40246245, 40247185, 40247803, 40246219, 40254548, 40247830, 40246097, 40253221]",25
